Group,Classification,Name,xFwd,xAft,yCentre,ySize,zHeight,zBase,FixedWeight_lightships,VariableWeight_cond1,VariableWeight_cond2,FluidDensity,AreaRequired,VolRequired,File

TankTop, 101, Tank1, 2.1,0,2.9,6.13,4.3,1,,,,,,,tank1.stl
TankTop, 102, Tank2, 2.1,0,-2.9,6.13,4.3,1,,,,,,tank1.stl
TankTop, 103, Tank3, 6.3,2.1,3.25,6.7,4.3,1,,,,,,,tank2.stl
TankTop, 104, Tank4, 6.3,2.1,-3.25,6.7,4.3,1,,,,,,,tank2.stl
TankTop, 105, Tank5, 11.2,6.3,4,6.1,4.3,1,,,,,,,tank3.stl
TankTop, 106, Tank6, 11.2,6.3,-4,6.1,4.3,1,,,,,,,tank3.stl
TankTop, 107, Tank7, 17.9,11.2,5.25,5.5,4.3,1,,,,,,,tank4.stl
TankTop, 108, Tank8, 17.9,11.2,-5.25,5.5,4.3,1,,,,,,,tank4.stl
TankTop, 109, Propulsion room, 15,11.5,0,4,4.3,1,,,,,,,PropulsionRoom.stl
TankTop, 110, Tank9, 22.1,17.9,6.25,1.5,5.3,1,,,,,,,tank5.stl
TankTop, 111, Tank10, 22.1,17.9,-6.25,1.5,5.3,1,,,,,,,tank5.stl
TankTop, 112, DryBulk1, 22.2,18.5,3.25,3.5,5.3,1,,,,,,,DryBulk.stl
TankTop, 113, DryBulk2, 22.2,18.5,-3,3.5,5.3,1,,,,,,,DryBulk.stl
TankTop, 114, DryBulk3, 25.8,22.3,4.75,3.5,5.3,1,,,,,,,DryBulk.stl
TankTop, 115, DryBulk4, 25.8,22.3,-4.75,3.5,5.3,1,,,,,,,DryBulk.stl
TankTop, 116,FOOverFlow1, 26,22.5,0.0,3,4.3,1,,,,,,,FOOverFlow.stl
TankTop, 117, MudBrineOroSlop1, 31,27.5,3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 118, MudBrineOroSlop2, 31,27.5,-3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 119, MudBrineOroSlop3, 35,31.5,3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 120, MudBrineOroSlop4, 35,31.5,-3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 121, MudBrineOroSlop5, 39,35.5,3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 122, MudBrineOroSlop6, 39,35.5,-3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 123, MudBrineOroSlop7, 43,39.5,3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 124, MudBrineOroSlop8, 43,39.5,-3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 125, MudBrineOroSlop9, 47,43.5,3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 126, MudBrineOroSlop10, 47,43.5,-3.75,5.5,5.3,1,,,,,,,MudBrineOroSlop.stl
TankTop, 127, Tank11, 32.5,26,7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 128, Tank12, 32.5,26,-7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 129, Tank13,39,32.5,7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 130, Tank14, 39,32.5,-7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 131, Tank15,45.5,39,7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 132, Tank16, 45.5,39,-7.5,1,5.3,1,,,,,,,tank6.stl
TankTop, 133, Tank17,53.5,50,5.75,2.5,5.3,1.4,,,,,,,tank7.stl
TankTop, 134, Tank18,53.5,50,-5.75,2.5,5.3,1.4,,,,,,,tank7.stl
