Time,XGtranslationTotalmotion,YGtranslationTotalmotion,ZGtranslationTotalmotion,XLrotationTotalmotion,YLrotationTotalmotion,ZGrotationTotalmotion,XGtranslationTotalmotion.1,YGtranslationTotalmotion.1,ZGtranslationTotalmotion.1,XLrotationTotalmotion.1,YLrotationTotalmotion.1,ZGrotationTotalmotion.1,XGtranslationTotalmotion.2,YGtranslationTotalmotion.2,ZGtranslationTotalmotion.2,XLrotationTotalmotion.2,YLrotationTotalmotion.2,ZGrotationTotalmotion.2,XGtranslationTotalmotion.3,YGtranslationTotalmotion.3,ZGtranslationTotalmotion.3,XLrotationTotalmotion.3,YLrotationTotalmotion.3,ZGrotationTotalmotion.3,XGtranslationTotalmotion.4,YGtranslationTotalmotion.4,ZGtranslationTotalmotion.4,XLrotationTotalmotion.4,YLrotationTotalmotion.4,ZGrotationTotalmotion.4,XGtranslationTotalmotion.5,YGtranslationTotalmotion.5,ZGtranslationTotalmotion.5,XLrotationTotalmotion.5,YLrotationTotalmotion.5,ZGrotationTotalmotion.5
0.0,63.208,-0.0010388,-0.065165,-0.00015984,-0.021681,0.003528,0.086971,-0.00032462,0.091537,0.00014472,0.20808,0.00017054,5.6461,-0.00047081,-0.096103,3.5424e-05,0.6241,0.0010414,-0.19337,-0.00013377,0.098825,0.00013544,-0.081253,-0.0004053,5.6737,-42.007,-0.11303,0.0091478,0.49117,-0.040038,0.15141,-0.024247,0.10071,0.077325,0.33901,0.011528
0.5,63.283,-0.0010635,-0.085788,-0.00018618,-0.096572,0.0037325,0.0081433,-0.00035214,0.054236,0.00015889,0.083944,6.1994e-05,5.7184,-0.00049027,-0.10089,-9.2719e-07,0.47672,0.0010789,-0.24996,-0.00016049,0.060559,0.00015906,-0.17428,-0.00058989,5.7408,-42.009,-0.12473,0.0070927,0.3561,-0.029269,0.070304,-0.012334,0.063625,0.067313,0.21378,-0.026163
1.0,63.354,-0.0011162,-0.10276,-0.00022445,-0.16583,0.0039254,-0.046152,-0.00038225,0.015066,0.0001747,-0.017268,-5.6715e-05,5.8047,-0.0005203,-0.099243,-3.9914e-05,0.30642,0.0011285,-0.26344,-0.0001792,0.020214,0.00017239,-0.2241,-0.00067844,5.8165,-42.007,-0.1261,0.0070249,0.21305,-0.017057,-0.0017146,0.0014822,0.023983,0.055613,0.094954,-0.059194
1.5,63.417,-0.0011863,-0.10729,-0.00026943,-0.23117,0.0040968,-0.082055,-0.00041016,-0.024553,0.00018706,-0.10068,-0.00016603,5.8977,-0.00055611,-0.091702,-7.8393e-05,0.12963,0.0011899,-0.2438,-0.00018598,-0.020671,0.00017106,-0.24035,-0.00065637,5.8947,-42.003,-0.11708,0.0089833,0.075292,-0.0045373,-0.065486,0.01684,-0.01672,0.042555,-0.016988,-0.082387
2.0,63.472,-0.0012587,-0.092372,-0.00031121,-0.29397,0.0042411,-0.10752,-0.00042836,-0.063231,0.0001881,-0.17321,-0.00024786,5.9906,-0.00058957,-0.07908,-0.00011148,-0.039215,0.0012629,-0.20427,-0.00017756,-0.06062,0.00015195,-0.23598,-0.00052711,5.9702,-41.996,-0.098768,0.012255,-0.047385,0.0071163,-0.12326,0.033913,-0.056946,0.027836,-0.12295,-0.092121
2.5,63.517,-0.0013191,-0.054682,-0.00033843,-0.35428,0.0043592,-0.12905,-0.00042983,-0.099623,0.00017068,-0.24016,-0.00028862,6.0773,-0.00061241,-0.062361,-0.00013421,-0.18858,0.001347,-0.15773,-0.00015374,-0.098217,0.00011555,-0.22343,-0.00031168,6.0391,-41.991,-0.073276,0.015602,-0.14906,0.016875,-0.17661,0.052779,-0.09518,0.011221,-0.2231,-0.086887
3.0,63.551,-0.0013578,0.0041674,-0.00034151,-0.41013,0.0044574,-0.1496,-0.00041148,-0.13244,0.00013191,-0.3031,-0.00028157,6.1532,-0.00061946,-0.042714,-0.00014333,-0.31029,0.0014417,-0.11401,-0.00011914,-0.13211,6.7352e-05,-0.21189,-4.5232e-05,6.0992,-41.988,-0.043479,0.017651,-0.22739,0.024032,-0.225,0.072792,-0.12996,-0.0067706,-0.31534,-0.067529
3.5,63.572,-0.0013721,0.07756,-0.0003152,-0.45723,0.0045465,-0.16836,-0.00037547,-0.16049,7.4548e-05,-0.35971,-0.00022789,6.2153,-0.00061056,-0.021536,-0.00013842,-0.39952,0.001546,-0.078744,-8.2234e-05,-0.16106,1.6791e-05,-0.20607,0.00022868,6.1493,-41.989,-0.012675,0.01731,-0.28294,0.028311,-0.26542,0.092239,-0.15992,-0.024475,-0.39511,-0.037134
4.0,63.578,-0.001366,0.15491,-0.00025964,-0.48926,0.0046384,-0.18203,-0.00032818,-0.18269,5.8868e-06,-0.40522,-0.00013646,6.262,-0.00059042,-0.00042691,-0.00012195,-0.4546,0.0016586,-0.053596,-5.272e-05,-0.18396,-2.5599e-05,-0.20661,0.00046535,6.1893,-41.994,0.015862,0.014107,-0.31821,0.029886,-0.29327,0.10848,-0.18382,-0.039205,-0.45629,-0.00056327
4.5,63.57,-0.0013479,0.22368,-0.00017996,-0.4986,0.0047439,-0.18702,-0.00027736,-0.1981,-6.5216e-05,-0.43476,-2.2214e-05,6.293,-0.00056676,0.019005,-9.8357e-05,-0.47658,0.0017782,-0.03764,-3.7848e-05,-0.19993,-5.1968e-05,-0.21149,0.00062627,6.2197,-42.001,0.039413,0.0083294,-0.33668,0.029307,-0.30395,0.11859,-0.20062,-0.047913,-0.49304,0.036302
